#{"t_start": 1629379713.1583602, "env_id": null}
r,l,t
0.0,101,0.486553
0.0,33,0.656199
0.0,61,0.945394
0.0,76,1.305311
0.0,76,1.661243
0.0,101,2.150376
0.0,56,2.413162
0.0,34,2.590203
0.0,88,3.011737
0.0,101,3.502887
0.0,36,3.678118
0.0,101,4.149244
0.0,72,4.521669
0.0,101,5.019352
0.0,20,5.139942
0.0,101,5.651205
0.0,52,5.915668
0.0,16,6.008045
0.0,33,6.185666
0.0,27,6.330267
-1.0,56,6.605657
0.0,101,7.11513
0.0,101,7.636894
0.0,101,8.173878
0.0,50,8.466056
0.0,49,8.750475
0.0,101,9.289796
0.0,101,9.793699
0.0,72,10.14833
0.0,96,11.846326
0.0,30,12.003865
0.0,77,12.37369
0.0,52,12.638047
0.0,32,12.80682
0.0,101,13.285592
0.0,32,13.469106
0.0,101,13.994198
0.0,101,14.539966
0.0,71,14.873008
0.0,21,14.993035
0.0,16,15.088135
0.0,60,15.369716
0.0,24,15.50043
0.0,42,15.712084
0.0,37,15.906823
0.0,101,16.392
0.0,101,16.954787
0.0,15,17.049212
0.0,101,17.55878
0.0,101,18.046942
0.0,30,18.201638
0.0,53,18.449693
0.0,50,18.694844
0.0,101,19.169587
0.0,24,19.296814
0.0,25,19.442945
0.0,15,19.54281
0.0,35,19.748949
0.0,101,20.263091
0.0,31,20.43063
0.0,101,20.922163
0.0,64,21.242761
0.0,27,21.395835
0.0,26,21.546996
0.0,13,21.630746
0.0,101,23.216007
0.0,101,23.732504
0.0,101,24.24663
0.0,23,24.375391
0.0,101,24.85528
0.0,51,25.099546
0.0,87,25.526002
0.0,61,25.846658
0.0,52,26.132889
0.0,37,26.357196
0.0,101,26.846826
0.0,70,27.191189
0.0,101,27.675678
0.0,84,28.079094
0.0,58,28.342199
0.0,101,28.840772
0.0,101,29.330057
0.0,27,29.478877
0.0,101,29.96215
0.0,56,30.224185
0.0,101,30.693859
0.0,24,30.823348
0.0,29,30.973808
0.0,23,31.098504
0.0,55,31.35689
0.0,37,31.551821
0.0,54,31.821187
0.0,56,32.10284
0.0,101,32.620168
0.0,101,33.097971
0.0,101,34.633793
0.0,101,35.138069
0.0,56,35.41819
0.0,23,35.547301
0.0,63,35.858365
0.0,68,36.24981
0.0,82,36.667836
0.0,25,36.806028
0.0,47,37.042811
0.0,34,37.215357
0.0,25,37.347301
0.0,56,37.641503
0.0,25,37.797526
0.0,17,37.902478
0.0,41,38.118196
0.0,84,38.530551
0.0,67,38.873033
0.0,56,39.137938
0.0,60,39.422739
0.0,101,39.903466
0.0,33,40.089012
0.0,56,40.367425
0.0,90,40.861108
0.0,48,41.145393
0.0,101,41.679968
0.0,68,42.005363
0.0,38,42.207196
0.0,101,42.695204
0.0,76,43.066016
0.0,15,43.161208
0.0,101,43.655387
0.0,101,44.206721
0.0,101,44.713423
0.0,21,45.863067
0.0,62,46.163772
0.0,101,46.670746
0.0,57,46.967703
0.0,101,47.491692
0.0,38,47.697691
0.0,94,48.128046
0.0,101,48.648763
0.0,101,49.141164
0.0,101,49.636097
0.0,53,49.945338
0.0,21,50.068312
0.0,97,50.610576
0.0,61,50.925347
0.0,58,51.197265
0.0,101,51.719144
0.0,37,51.90261
0.0,67,52.241987
0.0,101,52.770518
0.0,101,53.281511
0.0,101,53.768592
0.0,15,53.856681
0.0,18,53.958083
0.0,101,54.427839
0.0,16,54.524354
0.0,76,54.913165
0.0,54,55.204661
0.0,101,55.705193
0.0,101,56.229236
0.0,53,57.639169
0.0,87,58.124239
0.0,101,58.632804
0.0,27,58.809487
0.0,71,59.197217
0.0,58,59.50562
0.0,64,59.829246
0.0,16,59.931928
0.0,101,60.446978
0.0,101,60.953362
0.0,101,61.44667
0.0,27,61.6084
0.0,62,61.918194
0.0,101,62.410797
0.0,101,62.894641
0.0,101,63.379512
0.0,101,63.863817
0.0,59,64.154084
0.0,59,64.454335
0.0,59,64.794172
0.0,14,64.92019
0.0,101,65.478189
0.0,96,66.049448
0.0,22,66.183605
0.0,25,66.323404
0.0,14,66.411887
0.0,76,66.803341
0.0,52,67.053103
0.0,58,67.34315
0.0,46,67.56212
0.0,101,69.059059
0.0,101,69.591732
0.0,65,69.918031
0.0,81,70.305784
0.0,78,70.692181
0.0,101,71.164916
0.0,41,71.374279
0.0,55,71.63849
0.0,56,71.896088
0.0,53,72.147676
0.0,101,72.623438
0.0,49,72.889637
0.0,46,73.129075
0.0,101,73.66368
0.0,64,73.967432
0.0,101,74.449743
0.0,101,75.010194
0.0,101,75.507353
0.0,101,75.983839
0.0,31,76.146621
0.0,101,76.633697
0.0,76,77.022551
0.0,101,77.518188
0.0,101,77.999027
0.0,79,78.405187
0.0,101,78.873956
0.0,52,79.122203
0.0,54,80.390582
0.0,57,80.665314
0.0,101,81.150609
0.0,60,81.437335
0.0,51,81.685234
0.0,73,82.04561
0.0,45,82.26319
0.0,52,82.515258
0.0,101,82.994178
0.0,54,83.253122
0.0,14,83.335603
0.0,21,83.445872
0.0,101,83.918135
0.0,101,84.390672
0.0,64,84.695293
0.0,101,85.169804
0.0,101,85.646464
0.0,101,86.129465
0.0,51,86.36992
0.0,34,86.533015
0.0,57,86.801528
0.0,80,87.179353
0.0,58,87.450255
0.0,101,87.925628
0.0,54,88.185493
0.0,101,88.662524
0.0,101,89.138824
0.0,101,89.616531
0.0,27,89.757262
0.0,101,91.232738
0.0,101,91.720947
0.0,51,91.966432
0.0,26,92.109731
0.0,14,92.195698
0.0,63,92.497189
0.0,50,92.742071
0.0,101,93.215992
0.0,96,93.684086
0.0,49,93.931038
0.0,50,94.176097
0.0,101,94.650239
0.0,101,95.137255
0.0,56,95.418792
0.0,101,95.915349
0.0,87,96.335255
0.0,58,96.627891
0.0,56,96.898679
0.0,93,97.328679
0.0,67,97.667387
0.0,22,97.788608
0.0,93,98.2502
0.0,15,98.334151
0.0,101,98.824718
0.0,15,98.916499
0.0,20,99.028047
0.0,59,99.304245
0.0,101,99.794101
0.0,91,100.236468
0.0,101,100.720499
0.0,75,102.107867
0.0,33,102.290389
0.0,100,102.762847
0.0,101,103.255311
0.0,101,103.757123
0.0,56,104.030408
0.0,101,104.520317
0.0,92,104.948088
0.0,101,105.420397
0.0,101,105.911698
0.0,101,106.415165
0.0,59,106.71377
0.0,54,106.972894
0.0,101,107.468837
0.0,101,107.963204
0.0,64,108.300073
0.0,49,108.540797
0.0,21,108.663932
0.0,101,109.165465
0.0,46,109.386549
0.0,69,109.720439
0.0,61,110.006563
0.0,101,110.50813
0.0,74,110.859028
0.0,101,111.330938
0.0,48,111.5576
0.0,51,111.818063
0.0,80,113.365186
0.0,63,113.727619
0.0,54,114.042386
0.0,28,114.200107
0.0,50,114.482478
0.0,101,115.059946
0.0,19,115.203305
0.0,66,115.577243
0.0,101,116.13359
0.0,101,116.691322
0.0,101,117.20125
0.0,80,117.612742
0.0,26,117.762185
0.0,29,117.923173
0.0,59,118.233296
0.0,97,118.700437
0.0,101,119.210653
0.0,101,119.717089
0.0,101,120.191172
0.0,101,120.677627
0.0,101,121.137869
0.0,23,121.260786
0.0,81,121.662185
0.0,16,121.7644
0.0,16,121.861252
0.0,84,122.288469
0.0,44,122.53784
0.0,23,122.665645
