#{"t_start": 1629212212.3520484, "env_id": null}
r,l,t
0.0,101,0.482782
0.1,18,0.583867
0.1,23,0.704083
0.0,101,1.174749
0.0,101,1.632758
0.1,15,1.720988
0.1,20,1.835621
0.1,56,2.101182
0.0,39,2.290196
0.0,85,2.686974
0.1,88,3.103234
0.1,14,3.184803
0.1,18,3.283714
0.1,101,3.740596
0.1,46,4.00035
0.0,50,4.247564
0.1,83,4.706277
0.0,101,5.195953
0.0,101,5.690348
0.1,101,6.157429
0.0,101,6.621334
0.2,33,6.787224
0.1,27,6.925753
0.0,101,7.400668
0.1,101,7.909541
0.1,51,8.20612
0.1,23,8.347235
0.1,101,8.825165
0.0,62,9.103517
0.1,15,9.191003
0.1,86,9.635327
0.1,101,11.123174
0.1,28,11.273766
0.1,101,11.813562
0.0,101,12.285831
0.1,29,12.45499
0.0,101,12.942758
0.1,50,13.183907
0.0,101,13.638106
0.1,54,13.888222
0.0,101,14.349387
-1.0,87,14.752527
0.1,18,14.855406
0.0,41,15.061881
0.0,101,15.534367
0.5,101,15.994025
0.1,47,16.237074
0.0,101,16.701211
0.0,101,17.161893
0.0,101,17.628234
0.1,25,17.758815
0.0,101,18.224589
0.1,48,18.479986
0.1,50,18.713092
0.0,101,19.187943
0.0,101,19.643032
0.1,57,19.91486
0.1,19,20.01792
0.1,31,20.174618
0.1,33,20.345354
0.1,18,20.445401
0.1,63,20.73061
0.0,101,22.200177
0.1,22,22.31918
0.1,101,22.815048
0.1,56,23.07584
0.1,53,23.328033
0.0,65,23.622737
0.1,27,23.765666
0.0,101,24.242673
0.1,101,24.720167
0.0,46,24.947185
0.1,24,25.076799
0.0,101,25.540713
0.0,101,26.002847
0.0,101,26.474225
0.1,69,26.79665
0.0,101,27.256747
0.1,85,27.646307
0.1,18,27.746422
0.1,36,27.936337
0.0,101,28.413243
0.1,24,28.540838
0.1,47,28.788248
0.0,101,29.278137
0.0,101,29.744082
0.1,43,29.956345
0.0,101,30.433036
0.0,101,30.903516
0.0,93,31.344039
0.1,20,31.45372
0.0,18,31.551633
0.1,18,32.757379
0.1,101,33.284764
0.1,63,33.613379
0.1,13,33.702186
0.1,54,33.989902
0.1,38,34.203415
0.0,101,34.723114
0.0,101,35.229884
0.0,101,35.767194
0.1,20,35.892417
0.1,50,36.156986
0.1,28,36.31255
0.1,22,36.442931
0.1,51,36.7202
0.1,30,36.889656
0.2,57,37.216726
0.0,101,37.756573
0.0,101,38.286244
0.1,19,38.407475
0.0,46,38.668854
0.1,20,38.795807
0.0,101,39.329828
0.1,91,39.840057
0.1,59,40.152433
0.1,22,40.282749
0.1,13,40.376006
0.1,16,40.477554
0.0,80,40.889185
0.1,33,41.085008
0.0,101,41.610274
0.1,46,41.875671
0.1,27,42.040937
0.1,60,42.358746
0.1,53,42.645758
0.0,101,43.187169
0.1,34,43.404378
0.1,99,44.947772
0.0,68,45.27886
0.1,57,45.544514
0.1,13,45.627015
0.1,18,45.744494
0.1,41,45.986009
0.1,49,46.260281
0.0,101,46.810652
0.1,17,46.919474
0.1,14,47.014344
0.1,24,47.161889
0.1,21,47.29007
0.0,101,47.814007
0.1,24,47.960989
0.1,101,48.487216
0.1,19,48.60519
0.1,13,48.690975
0.0,101,49.198369
0.1,14,49.292937
0.1,14,49.387179
0.1,32,49.580703
0.0,101,50.130177
0.1,22,50.25592
0.2,96,50.774679
0.1,48,51.035008
0.1,29,51.202255
0.1,41,51.424852
0.0,101,51.968868
0.2,101,52.532794
0.1,56,52.82309
0.1,16,52.927085
0.1,82,53.373528
0.0,68,53.740564
0.1,32,53.922774
0.1,38,54.137472
0.1,33,54.327303
0.1,46,54.590081
0.1,52,54.871862
0.0,101,55.418059
0.0,101,55.97784
0.1,27,56.135499
0.1,64,57.49798
0.0,101,57.975935
0.1,67,58.282881
0.0,101,58.744347
0.1,58,59.01085
0.1,19,59.114177
0.1,61,59.395842
0.1,21,59.504849
0.0,101,59.969827
0.1,101,60.43025
0.1,38,60.623263
0.1,48,60.870207
0.1,101,61.365192
0.1,63,61.661484
0.1,14,61.740913
0.0,98,62.208062
0.1,22,62.321698
0.2,78,62.675355
0.0,101,63.151962
0.1,101,63.643852
0.1,101,64.131829
0.0,101,64.595609
0.1,43,64.79917
0.1,56,65.066873
0.1,50,65.315745
0.0,101,65.791684
0.1,101,66.270818
0.1,27,66.416203
0.1,38,66.604112
0.1,13,66.682706
0.4,95,68.174578
0.1,15,68.264457
0.1,93,68.714426
0.2,53,68.99205
0.1,45,69.204445
0.0,101,69.674874
0.1,44,69.885021
0.1,35,70.063244
0.1,101,70.523601
0.1,21,70.641372
0.1,84,71.027413
0.1,22,71.146145
0.1,87,71.565023
0.0,101,72.020683
0.0,101,72.502556
0.4,101,72.995463
0.1,25,73.136412
-1.0,99,73.607943
0.1,58,73.882416
0.0,26,74.021201
0.1,27,74.163772
0.1,31,74.323968
0.0,101,74.789582
0.1,38,74.992821
0.0,101,75.449991
0.1,31,75.613296
0.1,17,75.711289
0.1,48,75.94766
0.1,57,76.228394
0.1,32,76.391955
0.1,45,76.629556
0.0,101,77.103474
0.1,31,77.25919
0.1,96,77.746727
0.0,101,79.263567
0.1,32,79.427956
0.1,87,79.841626
0.1,23,79.966655
0.0,101,80.440287
0.3,101,80.91025
0.1,75,81.298295
0.1,17,81.394769
0.1,38,81.591698
0.1,101,82.084348
0.1,76,82.442942
0.1,33,82.617151
-0.7,99,83.105325
0.1,26,83.246907
0.1,68,83.564246
0.0,101,84.046152
0.0,101,84.520047
0.2,44,84.75006
0.1,70,85.095895
0.0,41,85.293794
0.1,22,85.413593
0.1,50,85.649229
0.0,25,85.792417
0.1,64,86.103189
0.1,17,86.201574
0.1,61,86.498754
0.1,55,86.765737
0.1,101,87.247138
0.1,50,87.489149
0.1,50,87.728086
0.1,23,87.852381
0.0,101,88.321221
0.1,33,88.499807
0.3,91,88.942541
0.1,17,90.078228
0.1,22,90.195715
0.1,67,90.531402
0.1,27,90.67231
0.0,101,91.152601
0.0,101,91.620587
0.1,26,91.761246
0.1,20,91.875351
0.1,18,91.978819
0.1,85,92.395061
0.1,55,92.656161
0.0,101,93.137697
0.1,16,93.230027
0.1,22,93.348254
0.1,14,93.433678
0.1,69,93.797124
0.1,55,94.059713
0.1,61,94.344799
0.0,91,94.781079
0.0,101,95.269427
0.1,18,95.369609
0.1,24,95.495353
0.1,27,95.639075
0.1,101,96.111561
0.1,52,96.359622
0.1,51,96.603066
0.1,58,96.880371
0.1,40,97.086573
0.1,65,97.393629
0.0,101,97.863027
0.1,56,98.147439
0.1,39,98.348719
0.0,101,98.812944
0.1,19,98.921986
0.1,58,99.199087
0.1,20,99.309877
0.1,27,99.454686
0.1,38,99.648167
0.1,101,101.14694
0.1,55,101.404345
0.1,60,101.687793
0.1,26,101.824176
0.1,101,102.296847
0.1,52,102.547763
0.1,23,102.670445
0.1,47,102.913491
0.0,101,103.393265
0.1,93,103.826197
0.1,14,103.91155
0.1,28,104.065576
0.0,47,104.298651
0.1,36,104.483109
0.0,79,104.866062
0.1,60,105.144411
0.1,51,105.384681
0.1,16,105.480445
0.1,26,105.622522
0.1,26,105.756648
0.1,29,105.909923
0.1,38,106.1124
0.1,30,106.267713
0.1,13,106.347974
0.1,58,106.622322
0.1,64,106.921834
0.1,23,107.046244
0.1,61,107.329672
0.1,71,107.661559
0.0,101,108.153159
0.0,101,108.624618
0.1,15,108.711828
0.1,59,108.98614
0.1,18,109.091536
0.1,41,109.299823
0.1,24,109.430874
0.0,101,109.90884
0.2,56,110.197314
0.1,19,110.305018
0.1,18,110.409633
0.1,68,110.728101
0.1,64,111.033922
0.0,101,112.5567
0.1,87,112.981135
0.1,18,113.083394
0.3,101,113.575083
0.1,71,113.921098
0.1,30,114.078636
0.1,27,114.228664
0.1,45,114.446725
0.1,53,114.714482
0.1,22,114.844552
0.1,26,114.979161
0.1,97,115.441756
0.0,101,115.923078
0.1,62,116.220774
0.1,22,116.341171
0.1,26,116.476162
0.1,30,116.634502
0.1,59,116.930523
0.1,23,117.054724
0.1,58,117.322528
0.1,28,117.473829
0.1,17,117.569973
0.0,101,118.041335
0.1,50,118.280103
0.2,66,118.593465
0.1,61,118.90652
0.1,81,119.315166
0.1,66,119.639052
0.1,47,119.864131
0.1,26,120.005013
0.0,101,120.494634
0.1,24,120.622223
0.1,60,120.90948
0.1,73,121.268093
0.0,27,121.407248
0.1,52,121.67673
0.1,78,122.050854
0.1,27,122.193491
0.1,101,123.719594
0.1,51,123.962509
0.1,25,124.098837
0.0,60,124.390296
0.1,73,124.738
0.1,26,124.877925
0.1,45,125.111523
0.1,28,125.256869
0.1,51,125.500816
0.4,80,125.902711
0.2,101,126.362635
0.1,24,126.495154
0.0,101,126.978504
0.1,53,127.23845
0.1,76,127.587573
0.0,101,128.060624
0.1,19,128.168341
0.0,101,128.643134
0.1,64,128.9456
0.1,14,129.030193
0.1,15,129.118691
0.1,13,129.19754
0.1,46,129.432698
0.0,34,129.605121
0.1,15,129.704733
0.1,73,130.059613
0.0,101,130.537457
0.1,95,130.988265
0.1,59,131.265319
0.1,17,131.362785
0.1,23,131.486722
0.1,58,131.763012
0.1,18,131.869026
0.1,77,132.238551
0.1,101,132.740306
0.1,32,132.8905
0.1,52,133.156182
0.1,44,133.375709
0.1,17,133.472903
0.1,24,134.635089
0.1,29,134.793088
0.0,101,135.266103
0.0,101,135.755155
0.1,83,136.152419
0.1,15,136.240544
0.1,18,136.340542
0.1,55,136.605646
0.2,62,136.928699
0.1,19,137.033479
0.1,68,137.354795
0.1,55,137.615752
0.1,21,137.73114
0.0,101,138.198802
0.1,59,138.479766
0.1,80,138.861458
0.1,43,139.083687
