#{"t_start": 1629889610.7541351, "env_id": null}
r,l,t
0.0,39,0.212794
0.0,29,0.37923
0.0,33,0.55522
0.0,84,0.925007
0.0,24,1.058288
0.0,86,1.423481
0.0,27,1.567484
0.0,101,1.999834
0.0,13,2.083552
0.0,22,2.210399
0.0,20,2.328401
0.0,27,2.477175
0.0,20,2.592372
0.0,20,2.707122
0.0,101,3.145404
0.0,42,3.370899
0.0,20,3.484268
0.0,101,3.962335
0.0,22,4.089825
0.0,39,4.301739
0.0,15,4.405568
0.0,10,4.480377
0.0,42,4.706898
0.0,101,5.140586
0.0,51,5.406924
0.0,96,5.87695
0.0,71,6.206901
0.0,32,6.385224
0.0,32,6.552022
0.0,55,6.814771
0.0,62,7.114976
0.0,101,7.620728
0.0,88,8.006886
0.0,101,8.468017
0.0,29,8.626736
0.0,17,8.726209
0.0,79,9.093945
0.0,22,9.217736
0.0,18,9.32759
0.0,20,9.443123
0.0,101,9.877279
0.0,11,9.952976
0.0,36,11.147596
0.0,101,11.57004
0.0,81,11.942389
0.0,12,12.02149
0.0,18,12.130308
0.0,35,12.315266
0.0,41,12.514674
0.0,16,12.612137
0.0,46,12.850135
0.0,28,13.011173
0.0,22,13.135432
0.0,30,13.310624
0.0,65,13.615056
0.0,23,13.745559
0.0,20,13.855171
0.0,11,13.928603
0.0,101,14.350958
0.0,101,14.784961
0.0,17,14.890723
0.0,101,15.333805
0.0,38,15.524111
0.0,101,15.995884
0.0,101,16.465677
0.0,25,16.599047
0.0,20,16.715918
0.0,19,16.82379
0.0,24,16.967495
0.0,28,17.11798
0.0,101,17.564847
0.0,77,17.945356
0.0,37,18.1452
0.0,26,18.293926
0.0,45,18.510787
0.0,86,18.937194
0.0,17,19.037233
0.0,101,19.497467
0.0,89,19.965055
0.0,18,20.079589
0.0,72,20.409136
0.0,56,20.687711
0.0,101,22.164443
0.0,15,22.261403
0.0,23,22.388206
0.0,40,22.597232
0.0,45,22.822513
0.0,17,22.923871
0.0,22,23.052948
0.0,34,23.231753
0.0,41,23.440884
0.0,49,23.694867
0.0,16,23.791561
0.0,10,23.860656
0.0,30,24.029423
0.0,13,24.110616
0.0,25,24.26105
0.0,10,24.332041
0.0,15,24.424453
0.0,46,24.675941
0.0,71,25.039809
0.0,52,25.302174
0.0,14,25.389693
0.0,14,25.47779
0.0,81,25.857735
0.0,29,26.02905
0.0,18,26.146105
0.0,22,26.281778
0.0,33,26.465995
0.0,24,26.595264
0.0,94,27.030118
0.0,9,27.094716
0.0,81,27.461859
0.0,21,27.581081
0.0,17,27.686014
0.0,39,27.882545
0.0,20,27.99928
0.0,27,28.148774
0.0,101,28.601759
0.0,49,28.83398
0.0,101,29.292602
0.0,60,29.592586
0.0,33,29.751588
0.0,60,30.071354
0.0,33,30.238563
0.0,29,30.419354
0.0,16,30.522851
0.0,13,30.610252
0.0,91,31.065409
0.0,101,31.558124
0.0,20,31.674625
0.0,45,31.901698
0.0,32,32.074575
0.0,53,32.358589
0.0,62,32.703029
0.0,28,33.962251
0.0,58,34.260128
0.0,12,34.342052
0.0,101,34.795537
0.0,15,34.888431
0.0,44,35.118351
0.0,26,35.272065
0.0,101,35.699495
0.0,64,36.006518
0.0,46,36.242695
0.0,15,36.340984
0.0,14,36.429216
0.0,94,36.888051
0.0,51,37.167221
0.0,39,37.395163
0.0,50,37.668598
0.0,101,38.145016
0.0,101,38.645116
0.0,18,38.754849
0.0,30,38.908193
0.0,101,39.398865
0.0,44,39.629319
0.0,33,39.815146
0.0,16,39.91685
0.0,101,40.393404
0.0,21,40.52212
0.0,16,40.628319
0.0,21,40.754863
0.0,26,40.898064
0.0,52,41.197438
0.0,43,41.455847
0.0,26,41.621514
0.0,12,41.70319
0.0,34,41.898979
0.0,18,42.021734
0.0,49,42.289342
0.0,36,42.467125
0.0,24,42.601167
0.0,45,42.858573
0.0,14,42.955303
0.0,40,43.162817
0.0,67,43.494513
0.0,101,43.983182
0.0,45,44.213108
0.0,22,44.334968
0.0,18,44.439467
0.0,33,45.64687
0.0,18,45.76007
0.0,58,46.093241
0.0,35,46.288117
0.0,41,46.510476
0.0,101,46.972537
0.0,45,47.209999
0.0,52,47.471096
0.0,27,47.616872
0.0,22,47.751476
0.0,101,48.239657
0.0,27,48.390127
0.0,12,48.469772
0.0,62,48.776627
0.0,51,49.044172
0.0,14,49.133339
0.0,16,49.233574
0.0,13,49.317863
0.0,17,49.427415
0.0,53,49.727696
0.0,20,49.848425
0.0,101,50.320823
0.0,39,50.528319
0.0,49,50.789058
0.0,56,51.092858
0.0,32,51.27758
0.0,22,51.403594
0.0,76,51.799898
0.0,67,52.153898
0.0,17,52.272524
0.0,22,52.412613
0.0,52,52.694321
0.0,101,53.160306
0.0,101,53.658298
0.0,15,53.752012
0.0,95,54.198362
0.0,15,54.292582
0.0,44,54.506451
0.0,15,54.603584
0.0,62,54.925257
0.0,93,55.365422
0.0,79,55.716603
0.0,98,56.15416
0.0,49,57.391445
0.0,101,57.846403
0.0,51,58.100261
0.0,14,58.188319
0.0,23,58.32059
0.0,56,58.594792
0.0,15,58.686049
0.0,19,58.796732
0.0,35,58.980484
0.0,26,59.117646
0.0,26,59.264375
0.0,24,59.40087
0.0,101,59.844888
0.0,23,59.971131
0.0,31,60.128341
0.0,26,60.277158
0.0,101,60.720212
0.0,18,60.825576
0.0,37,61.009418
0.0,18,61.115674
0.0,43,61.348266
0.0,12,61.427226
0.0,14,61.513695
0.0,18,61.61936
0.0,15,61.713466
0.0,101,62.164713
0.0,101,62.584019
0.0,84,62.969315
0.0,66,63.286137
0.0,33,63.456524
0.0,26,63.599715
0.0,60,63.907231
0.0,101,64.374718
0.0,37,64.574072
0.0,15,64.673285
0.0,20,64.791776
0.0,67,65.120009
0.0,18,65.236918
0.0,39,65.456902
0.0,45,65.683658
0.0,18,65.793131
0.0,35,65.98481
0.0,49,66.230888
0.0,101,66.710587
0.0,9,66.77549
0.0,58,67.093692
0.0,17,67.206702
0.0,94,68.76959
0.0,12,68.850958
0.0,9,68.917676
0.0,22,69.046835
0.0,29,69.207556
0.0,10,69.276711
0.0,101,69.729891
0.0,40,69.941993
0.0,17,70.049006
0.0,17,70.153615
0.0,55,70.446807
0.0,21,70.572088
0.0,101,71.042933
0.0,47,71.286909
0.0,12,71.365367
0.0,46,71.627398
0.0,75,72.032285
0.0,101,72.489287
0.0,46,72.74087
0.0,25,72.88705
0.0,21,73.015981
0.0,101,73.453715
0.0,20,73.568116
0.0,26,73.712024
0.0,15,73.804428
0.0,33,73.982833
0.0,26,74.124679
0.0,54,74.393501
0.0,25,74.530682
0.0,12,74.610332
0.0,101,75.052902
0.0,36,75.241346
0.0,44,75.468564
0.0,38,75.729051
0.0,26,75.866953
0.0,32,76.036401
0.0,12,76.116114
0.0,28,76.266902
0.0,41,76.539047
0.0,32,76.697993
0.0,39,76.884269
0.0,101,77.353855
0.0,21,77.471864
0.0,20,77.592985
0.0,101,78.035146
0.0,22,78.161624
0.0,21,78.294355
0.0,32,78.475849
0.0,35,78.662381
0.0,53,78.932646
0.0,10,79.005029
0.0,28,79.166454
0.0,25,79.314972
0.0,64,80.650295
0.0,11,80.72713
0.0,18,80.839222
0.0,32,81.016268
0.0,75,81.371035
0.0,58,81.628235
0.0,38,81.799879
0.0,35,81.986168
0.0,12,82.064894
0.0,101,82.510288
0.0,13,82.594336
0.0,63,82.880423
0.0,17,82.981344
0.0,26,83.12837
0.0,10,83.198198
0.0,101,83.683182
0.0,50,83.942089
0.0,34,84.116004
0.0,39,84.304967
0.0,33,84.480853
0.0,67,84.811403
0.0,20,84.925749
0.0,34,85.111799
0.0,101,85.567446
0.0,24,85.700344
0.0,91,86.087684
0.0,101,86.594105
0.0,23,86.724901
0.0,86,87.110708
0.0,13,87.192432
0.0,86,87.57001
0.0,49,87.816905
0.0,39,88.018641
0.0,34,88.185523
0.0,17,88.290776
0.0,36,88.478677
0.0,18,88.592022
0.0,58,88.87587
0.0,12,88.954998
0.0,35,89.131466
0.0,101,89.579545
0.0,11,89.656086
0.0,101,90.097711
0.0,72,91.468868
0.0,9,91.534889
0.0,64,91.881255
0.0,35,92.061034
0.0,23,92.20211
0.0,12,92.284966
0.0,21,92.409863
0.0,21,92.535032
0.0,26,92.677762
0.0,17,92.784642
0.0,33,92.957456
0.0,26,93.111202
0.0,10,93.179937
0.0,99,93.636994
0.0,11,93.711254
0.0,25,93.848484
0.0,49,94.100094
0.0,101,94.532654
0.0,27,94.675859
0.0,21,94.789202
0.0,84,95.151335
0.0,101,95.585311
0.0,21,95.706344
0.0,101,96.164645
0.0,59,96.468406
0.0,20,96.586593
0.0,49,96.841237
0.0,29,97.001785
0.0,21,97.126249
0.0,66,97.470088
0.0,101,97.924276
0.0,25,98.070105
0.0,63,98.410747
0.0,23,98.552926
0.0,73,98.91944
0.0,37,99.113456
0.0,23,99.253196
0.0,48,99.514458
0.0,47,99.761821
0.0,58,100.063651
0.0,39,100.266562
0.0,39,100.472344
0.0,83,100.87147
0.0,33,101.054653
0.0,86,101.484061
0.0,57,101.755453
0.0,14,101.844043
0.0,91,103.309499
0.0,13,103.398376
0.0,40,103.598923
0.0,69,103.90361
0.0,26,104.049698
0.0,58,104.358694
0.0,12,104.439528
0.0,77,104.824024
0.0,71,105.149645
0.0,62,105.462156
0.0,13,105.545008
0.0,32,105.720508
0.0,19,105.834346
0.0,21,105.958151
0.0,58,106.222051
0.0,27,106.384935
0.0,101,106.856315
0.0,101,107.30156
0.0,14,107.387199
0.0,28,107.539747
0.0,101,107.959244
0.0,81,108.358525
0.0,28,108.505999
0.0,20,108.62232
0.0,12,108.700652
0.0,16,108.797411
0.0,70,109.142304
0.0,32,109.315573
0.0,20,109.425467
0.0,39,109.628753
0.0,39,109.83362
0.0,9,109.898203
0.0,19,110.004736
0.0,25,110.140481
0.0,42,110.361943
0.0,61,110.659193
0.0,65,110.95868
0.0,48,111.201096
0.0,101,111.625128
0.0,16,111.721817
0.0,16,111.81696
0.0,54,112.08896
0.0,40,112.304349
0.0,22,112.432725
0.0,28,112.598459
0.0,14,112.691663
0.0,93,113.128299
0.0,16,114.249586
0.0,13,114.335407
0.0,34,114.513078
0.0,21,114.639117
0.0,101,115.094545
0.0,44,115.321229
0.0,20,115.445233
0.0,101,115.89898
0.0,27,116.055846
0.0,92,116.454862
0.0,38,116.666601
0.0,22,116.795802
0.0,41,117.00851
0.0,71,117.324011
0.0,73,117.691185
0.0,47,117.935262
0.0,53,118.205224
0.0,47,118.452519
0.0,101,118.911297
0.0,21,119.048061
0.0,90,119.464033
0.0,101,119.968123
0.0,31,120.133143
0.0,25,120.284837
0.0,22,120.426591
0.0,27,120.591757
0.0,20,120.712821
0.0,25,120.869128
0.0,36,121.076875
0.0,50,121.351373
0.0,61,121.667558
0.0,9,121.735213
0.0,54,122.011775
0.0,101,122.451764
0.0,99,122.896375
0.0,101,123.340374
0.0,20,123.453805
0.0,38,123.652887
0.0,41,123.861012
0.0,88,124.308651
0.0,21,124.423717
0.0,35,125.642592
0.0,17,125.745629
0.0,9,125.809683
0.0,23,125.939601
0.0,53,126.215294
0.0,101,126.681925
0.0,101,127.104554
0.0,101,127.53013
0.0,21,127.645379
0.0,101,128.08346
0.0,17,128.185973
0.0,52,128.455726
0.0,9,128.530555
0.0,33,128.710876
0.0,30,128.866037
0.0,16,128.962653
0.0,24,129.1013
0.0,32,129.275291
0.0,12,129.355057
0.0,96,129.794667
0.0,21,129.912276
0.0,29,130.070874
0.0,15,130.171345
0.0,35,130.35613
0.0,52,130.613526
0.0,59,130.90907
0.0,11,130.986719
0.0,52,131.240625
0.0,59,131.539936
0.0,40,131.743092
0.0,27,131.890892
0.0,101,132.362285
0.0,101,132.820621
0.0,17,132.931978
0.0,21,133.061521
0.0,68,133.41253
0.0,86,133.806299
0.0,11,133.882852
0.0,81,134.256089
0.0,101,134.730924
0.0,61,134.992008
0.0,27,135.147253
0.0,101,135.607448
0.0,101,137.036628
0.0,101,137.493554
0.0,39,137.695935
0.0,78,138.075215
0.0,86,138.462795
0.0,23,138.593545
0.0,43,138.823325
0.0,55,139.093408
0.0,12,139.176607
0.0,41,139.392536
0.0,10,139.462933
0.0,21,139.584088
0.0,32,139.751416
0.0,99,140.220367
0.0,19,140.334577
0.0,13,140.420448
0.0,20,140.535317
0.0,23,140.674969
0.0,28,140.827556
0.0,25,140.968904
0.0,16,141.067806
0.0,33,141.257836
0.0,101,141.746028
0.0,36,141.928425
0.0,24,142.054144
0.0,72,142.398836
0.0,19,142.511746
0.0,34,142.697493
0.0,38,142.900993
0.0,19,143.014324
0.0,101,143.511224
0.0,24,143.650829
0.0,20,143.765431
0.0,101,144.222678
0.0,40,144.414829
0.0,90,144.839424
0.0,101,145.306672
0.0,81,145.694648
0.0,14,145.793921
0.0,58,146.086773
0.0,12,146.167838
0.0,101,146.654602
0.0,13,146.744241
0.0,24,146.877409
0.0,101,148.349506
0.0,101,148.80407
0.0,82,149.181387
0.0,101,149.64351
0.0,24,149.782209
0.0,19,149.90107
0.0,33,150.083673
0.0,28,150.243372
0.0,50,150.499578
0.0,15,150.594812
0.0,52,150.828865
0.0,101,151.305833
0.0,36,151.493977
0.0,9,151.559449
0.0,36,151.74489
0.0,29,151.901046
0.0,35,152.080217
0.0,19,152.203932
0.0,16,152.303543
0.0,24,152.446518
0.0,36,152.643661
0.0,19,152.759896
0.0,101,153.288744
0.0,101,153.762146
0.0,26,153.913887
0.0,22,154.036905
0.0,101,154.484292
0.0,50,154.74518
0.0,57,155.018232
0.0,18,155.128688
0.0,26,155.274508
0.0,22,155.400881
0.0,18,155.507302
0.0,79,155.861753
0.0,101,156.31207
0.0,38,156.493811
0.0,101,156.920689
0.0,13,157.006773
0.0,101,157.490824
0.0,24,157.629101
0.0,51,157.87905
0.0,101,159.322681
0.0,28,159.476093
0.0,101,159.940081
0.0,34,160.120297
0.0,12,160.199392
0.0,21,160.32169
0.0,32,160.495396
0.0,20,160.610791
0.0,37,160.796715
0.0,20,160.908998
0.0,29,161.061397
0.0,40,161.269735
0.0,15,161.364029
0.0,19,161.472698
0.0,101,161.92157
0.0,18,162.02843
0.0,68,162.361375
0.0,81,162.734005
0.0,22,162.859621
0.0,41,163.081477
0.0,101,163.512182
0.0,25,163.643818
0.0,21,163.765798
0.0,16,163.863363
0.0,17,163.967539
0.0,45,164.202695
0.0,17,164.302219
0.0,43,164.52599
0.0,15,164.619373
0.0,13,164.703882
0.0,101,165.16639
0.0,21,165.296806
0.0,75,165.645865
0.0,101,166.065361
0.0,42,166.278515
0.0,53,166.540396
0.0,21,166.65851
0.0,35,166.83461
0.0,101,167.317874
0.0,101,167.766557
0.0,99,168.241138
0.0,25,168.387839
0.0,44,168.638706
0.0,29,168.811002
0.0,45,169.051408
0.0,20,169.179583
0.0,21,169.300327
0.0,26,170.560297
0.0,101,171.051015
0.0,101,171.502901
0.0,101,171.981904
0.0,16,172.082459
0.0,101,172.520449
0.0,11,172.599167
0.0,49,172.847424
0.0,20,172.962747
0.0,52,173.234044
0.0,56,173.515898
0.0,74,173.853678
0.0,37,174.051808
0.0,101,174.485927
0.0,22,174.6099
0.0,101,175.097184
0.0,101,175.588443
0.0,101,176.045029
0.0,21,176.173389
0.0,22,176.307846
0.0,101,176.80442
0.0,31,176.972358
0.0,101,177.423161
0.0,63,177.764595
0.0,52,178.064592
0.0,21,178.195754
0.0,20,178.325705
0.0,32,178.516638
0.0,62,178.878639
0.0,49,179.129741
0.0,10,179.203498
0.0,40,179.411715
0.0,101,179.848962
0.0,50,180.107872
0.0,29,180.271179
0.0,12,180.349218
0.0,52,180.580109
0.0,101,182.032579
0.0,16,182.135705
0.0,89,182.559067
0.0,53,182.826672
0.0,45,183.056976
0.0,101,183.496235
0.0,46,183.731152
0.0,65,184.058939
0.0,25,184.202763
0.0,101,184.682547
0.0,101,185.181005
0.0,19,185.293904
0.0,75,185.674436
0.0,101,186.127647
0.0,21,186.248083
0.0,42,186.471027
0.0,101,186.897421
0.0,101,187.317969
0.0,34,187.504894
0.0,56,187.789134
0.0,101,188.251183
0.0,42,188.46238
0.0,42,188.686345
0.0,20,188.799847
0.0,52,189.048126
0.0,77,189.41676
0.0,21,189.538898
0.0,77,189.914816
0.0,101,190.387077
0.0,21,190.511071
0.0,15,190.60371
0.0,17,190.707404
0.0,16,190.804261
0.0,52,191.065199
0.0,29,191.221356
0.0,23,191.344621
0.0,19,191.455725
0.0,101,192.899448
0.0,101,193.360298
0.0,101,193.809069
0.0,32,193.960895
0.0,25,194.096718
0.0,25,194.238731
0.0,53,194.497621
0.0,21,194.617057
0.0,24,194.751246
0.0,48,195.007898
0.0,36,195.185339
0.0,35,195.368107
0.0,46,195.599184
0.0,19,195.710225
0.0,101,196.196064
0.0,48,196.443689
0.0,32,196.603063
0.0,38,196.802545
0.0,14,196.888445
0.0,19,197.002292
0.0,101,197.450785
0.0,101,197.922894
0.0,59,198.216226
0.0,20,198.333036
0.0,101,198.765342
0.0,24,198.902811
0.0,85,199.320883
0.0,101,199.740469
0.0,23,199.870273
0.0,101,200.333107
0.0,20,200.446652
0.0,101,200.889944
0.0,41,201.104728
0.0,101,201.570587
0.0,91,201.973126
0.0,34,202.155788
0.0,101,203.630577
0.0,101,204.104059
0.0,21,204.225713
0.0,16,204.325933
0.0,16,204.429142
0.0,46,204.649381
0.0,24,204.78191
0.0,101,205.22623
0.0,101,205.770682
0.0,31,205.956266
0.0,31,206.145389
1.0,17,206.249208
0.0,20,206.367966
0.0,87,206.77462
0.0,29,206.940218
0.0,52,207.198861
0.0,81,207.567205
0.0,46,207.823623
0.0,20,207.94448
0.0,18,208.072322
0.0,94,208.559112
0.0,101,209.042453
0.0,91,209.570576
1.0,33,209.77892
0.0,40,209.996352
0.0,40,210.225099
0.0,24,210.3759
0.0,101,210.854073
0.0,28,211.02102
0.0,35,211.218936
0.0,60,211.553474
0.0,101,212.033032
0.0,29,212.217183
0.0,31,212.400157
0.0,41,212.642715
0.0,101,213.109753
0.0,21,213.246053
0.0,101,213.75391
0.0,23,213.884655
0.0,48,214.138368
0.0,68,215.493014
0.0,52,215.751512
0.0,31,215.927026
0.0,17,216.038699
0.0,101,216.546243
0.0,32,216.70767
0.0,40,216.914611
0.0,101,217.413949
0.0,101,217.972502
0.0,30,218.136928
0.0,63,218.433867
0.0,31,218.641273
0.0,101,219.16227
0.0,101,219.676158
0.0,24,219.812536
0.0,27,219.960322
0.0,40,220.17128
0.0,101,220.64983
0.0,13,220.736483
0.0,101,221.250111
0.0,44,221.513122
0.0,50,221.755109
0.0,64,222.07242
0.0,101,222.576554
0.0,16,222.686519
0.0,23,222.830899
0.0,62,223.137159
0.0,101,223.641937
0.0,19,223.754082
0.0,101,224.223722
0.0,37,224.426414
0.0,48,224.658979
0.0,12,224.739938
0.0,28,224.891767
0.0,18,225.003444
0.0,74,225.395205
0.0,26,225.54751
0.0,26,225.70777
0.0,87,227.152888
0.0,36,227.346082
0.0,25,227.480196
0.0,44,227.712522
0.0,65,228.047909
0.0,28,228.202746
0.0,101,228.676488
0.0,48,228.945476
0.0,30,229.117202
0.0,41,229.334872
0.0,83,229.739206
0.0,101,230.220511
0.0,101,230.698498
0.0,17,230.80016
0.0,48,231.037761
0.0,39,231.221987
0.0,20,231.338826
0.0,15,231.430008
0.0,35,231.60752
0.0,9,231.673799
0.0,20,231.793099
0.0,101,232.269472
0.0,83,232.682149
0.0,14,232.77681
0.0,101,233.219283
0.0,15,233.317215
0.0,61,233.612659
0.0,34,233.775011
0.0,18,233.882833
0.0,25,234.025115
0.0,31,234.193551
0.0,35,234.378816
0.0,66,234.715219
0.0,24,234.852015
0.0,68,235.176192
0.0,19,235.291814
