#{"t_start": 1630005831.7402902, "env_id": null}
r,l,t
0.0,101,2.69737
0.8,17,2.794208
0.8,38,2.988531
0.8,62,3.293786
0.8,27,3.434736
0.8,37,3.623492
0.8,25,3.758175
0.0,101,4.191472
0.8,29,4.333967
0.8,24,4.467631
0.8,78,4.823742
0.8,12,4.917391
0.8,61,5.234626
0.0,101,5.674402
0.8,25,5.805583
0.8,15,5.894697
0.8,11,5.973957
0.0,101,6.445969
0.8,34,6.639899
0.0,101,7.104279
0.8,24,7.240129
0.8,11,7.316304
0.8,16,7.412383
0.8,43,7.624342
0.8,23,7.777878
0.8,47,8.046927
0.8,92,8.52853
0.8,41,8.75752
0.8,57,9.053805
0.8,19,9.166425
0.8,47,9.417865
0.8,22,9.541248
0.8,101,9.969083
0.0,101,10.411477
0.0,101,10.854887
0.0,101,11.283723
0.8,25,11.4104
0.9,23,11.531798
0.8,20,11.643881
0.8,81,12.053978
0.8,15,12.146988
0.8,43,13.752843
0.0,101,14.255159
0.8,83,14.696079
0.8,26,14.840231
0.8,30,15.015744
0.0,24,15.148988
0.8,18,15.258877
0.8,19,15.390827
0.0,101,15.921144
0.8,36,16.139316
0.8,12,16.225638
0.8,19,16.338832
0.8,60,16.655222
0.8,101,17.162211
0.9,34,17.347914
0.8,101,17.768761
0.8,42,17.982502
0.8,47,18.212265
0.8,32,18.373136
0.8,26,18.502543
0.8,12,18.578342
0.8,33,18.760125
0.8,14,18.850429
0.8,14,18.949888
0.9,26,19.12031
0.8,53,19.391482
0.0,101,19.850596
0.8,41,20.049936
0.8,37,20.233038
0.8,14,20.332494
0.0,101,20.822983
0.8,62,21.175114
0.8,17,21.303955
0.7,55,21.623833
1.0,101,22.264504
0.8,16,22.382718
0.8,44,22.617637
0.0,101,23.163458
0.8,53,23.469824
0.8,20,23.605255
0.7,21,23.749631
0.0,16,23.8574
0.0,101,24.349227
0.8,20,24.47719
0.9,15,24.578241
0.8,32,24.758609
0.8,46,25.988219
0.8,21,26.102827
0.8,26,26.235291
0.8,15,26.321151
0.8,23,26.442407
0.9,101,26.883664
0.8,12,26.9601
0.8,101,27.413194
0.0,101,27.85841
0.8,20,27.967949
0.7,51,28.218362
0.8,61,28.50271
0.8,24,28.628748
0.8,51,28.879058
2.0,26,29.02124
0.0,101,29.459364
0.8,27,29.59762
0.8,11,29.671837
0.8,35,29.846771
0.9,101,30.283826
0.8,28,30.444539
0.8,76,30.797501
0.8,36,30.979824
0.7,24,31.113989
0.0,101,31.549246
0.0,101,32.002385
0.8,31,32.178746
0.8,47,32.417614
0.0,101,32.865611
0.8,101,33.325886
0.0,101,33.769568
0.8,36,33.9515
0.9,50,34.207886
0.8,18,34.316235
1.0,82,34.728584
0.0,101,35.174194
0.8,55,35.444963
0.0,101,37.003335
0.8,43,37.203812
0.8,24,37.331841
0.8,42,37.556561
0.7,56,37.825906
0.8,25,37.956877
0.8,27,38.106327
0.8,32,38.266122
0.8,31,38.407856
0.8,53,38.676915
0.8,17,38.783205
0.8,16,38.882732
0.8,101,39.352829
0.8,18,39.458537
0.8,44,39.675452
0.8,53,39.922414
0.8,18,40.019696
0.8,19,40.133766
0.8,58,40.396827
0.8,28,40.53586
0.8,19,40.644767
0.8,13,40.72329
0.8,37,40.898129
0.8,27,41.035998
0.8,96,41.450636
0.8,51,41.724091
0.8,34,41.907489
0.9,25,42.039254
0.9,24,42.178111
0.0,101,42.617845
0.8,16,42.713297
0.8,34,42.888878
0.8,30,43.07933
0.8,52,43.329437
0.8,19,43.459941
0.0,101,43.883027
0.8,11,43.951906
0.8,50,44.191081
0.8,13,44.271228
0.8,36,44.447804
0.9,59,44.730066
0.8,73,45.050612
0.0,101,45.523434
0.8,30,45.684665
0.0,99,46.094363
0.8,39,46.275938
0.8,24,46.403792
0.8,50,47.632676
0.8,74,47.982796
0.8,20,48.094417
0.8,25,48.221933
0.8,25,48.347893
0.8,51,48.572079
0.7,26,48.706949
0.8,86,49.043841
0.8,59,49.320273
0.8,45,49.533492
0.8,65,49.826478
0.8,13,49.903771
0.8,18,50.004923
0.8,53,50.256214
0.0,101,50.659552
0.8,27,50.799404
0.8,30,50.946843
0.8,55,51.191934
0.8,33,51.357838
0.8,34,51.515901
0.8,53,51.762141
0.8,41,51.94838
0.8,28,52.105726
0.8,28,52.24757
0.8,45,52.472079
0.8,20,52.581082
0.8,55,52.833124
0.8,34,52.991925
0.0,101,53.400069
0.0,101,53.836959
0.8,39,54.025952
0.8,34,54.191321
0.8,35,54.360839
0.8,25,54.491811
0.8,21,54.602703
0.8,48,54.80673
0.8,16,54.895534
0.8,101,55.305424
0.8,63,55.604741
0.8,17,55.698927
0.8,31,55.854943
0.8,13,55.931436
0.8,45,56.159408
0.8,24,56.286768
0.8,44,56.486601
0.8,13,56.564267
0.8,25,56.692459
0.0,79,57.078637
0.8,29,58.337525
0.8,27,58.485518
0.8,14,58.568208
0.0,101,59.006971
0.8,38,59.197321
0.8,59,59.459775
0.8,49,59.706712
0.0,101,60.137643
0.0,101,60.545858
0.5,83,60.916161
0.8,19,61.019193
0.8,34,61.189657
0.8,52,61.439122
0.8,101,61.85917
0.8,12,61.933912
0.8,52,62.181234
0.8,31,62.337868
0.0,101,62.806792
0.8,24,62.933964
0.8,28,63.077172
0.0,101,63.494576
0.8,14,63.578836
0.8,25,63.711104
0.8,26,63.840049
0.8,9,63.901599
0.8,30,64.054981
0.8,93,64.44296
0.0,101,64.875874
0.8,44,65.088457
0.8,101,65.520739
0.8,23,65.638915
0.8,12,65.712767
0.8,55,65.98183
0.8,34,66.156923
0.8,88,66.539747
0.8,20,66.646485
0.8,14,66.729242
0.8,101,67.185224
0.8,76,67.55054
0.8,19,67.655411
0.7,35,68.832436
0.8,46,69.061904
0.0,101,69.491379
0.8,30,69.635595
0.8,23,69.76886
0.8,22,69.885368
0.8,16,69.976422
0.9,19,70.083528
0.0,101,70.493471
0.8,27,70.626687
0.8,39,70.817734
0.8,50,71.059688
0.8,23,71.18162
0.0,101,71.622846
0.8,13,71.703625
0.8,48,71.937909
0.8,40,72.128278
0.0,101,72.550947
0.8,60,72.821995
0.8,12,72.895738
0.8,21,73.008506
0.8,33,73.175068
0.8,101,73.609428
0.8,39,73.793769
0.8,51,74.041958
0.8,33,74.207498
0.8,16,74.299259
0.8,11,74.369168
0.8,33,74.536643
0.8,22,74.65884
0.8,78,75.02639
0.8,48,75.26226
0.8,19,75.371771
0.8,31,75.529516
0.8,52,75.790191
0.8,26,75.921431
0.8,12,75.998367
0.8,13,76.079681
0.8,11,76.15006
0.8,45,76.358484
0.8,101,76.787381
0.8,36,76.956622
0.8,31,77.111292
0.8,59,77.404891
0.8,35,77.581547
0.8,61,77.853678
0.9,20,77.963824
0.8,54,78.222885
0.0,101,79.634632
0.0,101,80.061067
0.8,19,80.172951
0.8,20,80.281178
0.8,13,80.360417
0.8,29,80.501945
0.8,49,80.735417
0.8,101,81.180465
0.8,21,81.289121
0.8,30,81.438294
0.0,101,81.855794
0.8,23,81.978518
0.8,47,82.206226
0.9,13,82.285796
0.9,40,82.482155
0.8,29,82.63316
0.8,45,82.84771
0.8,101,83.272491
0.8,32,83.436047
0.8,30,83.592735
0.8,100,84.018445
0.8,101,84.493429
0.8,67,84.773747
0.8,29,84.920857
0.8,45,85.136252
0.8,14,85.220549
0.8,19,85.324475
0.8,42,85.528512
0.8,12,85.606626
0.8,36,85.794824
0.8,68,86.125558
0.8,31,86.288743
0.8,73,86.598457
0.8,101,87.000043
0.8,89,87.414315
0.8,24,87.545721
0.8,24,87.675354
0.8,37,87.851222
0.8,71,88.175437
0.8,48,88.399407
0.8,32,88.558844
0.8,58,88.843588
0.8,16,88.934133
0.8,61,90.214683
0.8,101,90.64971
0.0,101,91.068072
0.8,25,91.200644
0.0,101,91.603069
0.8,56,91.875069
0.8,33,92.042973
0.8,57,92.29734
0.0,101,92.722361
0.8,35,92.892298
0.8,40,93.082655
0.8,43,93.278605
0.8,44,93.498877
0.8,14,93.582206
0.8,43,93.806353
0.8,66,94.120796
0.0,101,94.511292
0.9,58,94.786755
0.8,13,94.865719
0.0,101,95.298238
0.8,60,95.576603
0.0,101,96.004723
0.8,61,96.297112
0.8,46,96.521751
0.8,55,96.785289
0.8,45,97.000277
0.0,101,97.454852
0.8,81,97.820864
0.8,26,97.956694
0.8,47,98.173781
0.8,16,98.26522
0.8,39,98.454323
0.8,47,98.685304
0.0,101,99.117366
0.8,12,99.193673
0.8,16,99.287271
0.8,35,99.465306
0.8,79,100.901277
0.8,38,101.129613
0.8,13,101.228095
0.8,12,101.337107
0.8,48,101.677271
0.8,37,101.891466
0.8,95,102.434186
0.8,13,102.519134
0.8,42,102.751724
0.8,31,102.940971
0.8,31,103.128468
0.8,14,103.221814
0.9,12,103.30477
0.8,42,103.538408
0.8,51,103.794076
0.8,10,103.866894
0.8,28,104.033689
0.0,101,104.500733
0.8,13,104.582936
0.8,101,105.160708
0.8,26,105.3372
0.8,15,105.451539
0.8,44,105.712594
0.8,13,105.815349
0.8,27,106.004853
0.8,12,106.094035
0.0,101,106.611477
0.8,26,106.779505
0.8,69,107.180738
0.8,36,107.388251
0.8,17,107.508039
0.8,17,107.625021
0.8,101,108.138268
0.8,12,108.225722
0.0,24,108.37291
0.9,34,108.568173
0.8,18,108.685644
