#{"t_start": 1628633114.8526514, "env_id": null}
r,l,t
0.0,16,0.082611
0.0,16,0.147481
0.0,16,0.21456
0.0,16,0.281219
0.0,16,0.345591
0.0,16,0.414459
0.0,16,0.480262
0.0,16,0.546917
0.0,16,0.612075
0.0,16,0.676145
0.0,16,0.746561
0.0,16,0.814324
0.0,16,0.879198
0.0,16,0.942992
0.0,16,1.009974
0.0,16,1.077988
0.0,16,1.142111
0.0,16,1.206084
0.0,16,1.271174
0.0,16,1.341877
0.0,16,1.416264
0.0,16,1.479962
0.0,16,1.544126
0.0,16,1.608345
0.0,16,1.676612
0.0,16,1.744175
0.0,16,1.807535
0.0,16,1.871288
0.0,16,1.936803
0.0,16,2.00159
0.0,16,2.068343
0.0,16,2.140007
0.0,13,2.201801
1.0,16,2.275805
0.0,16,2.339203
0.0,16,2.404307
0.0,16,2.468283
0.0,16,2.530675
0.0,16,2.599232
0.0,16,2.666483
0.0,16,2.730319
0.0,16,2.799129
0.0,16,2.862517
0.0,16,2.931056
0.0,16,2.99464
0.0,16,3.058468
1.0,13,3.122674
0.0,16,3.188087
0.0,16,3.25486
0.0,16,3.325443
1.0,12,3.38189
0.0,16,3.446646
0.0,16,3.51571
0.0,16,3.582352
0.0,16,3.650144
0.0,16,3.719137
0.0,16,3.783889
0.0,16,3.848057
0.0,16,3.914817
0.0,13,3.979612
0.0,16,4.043032
0.0,16,4.108872
0.0,16,4.175697
0.0,16,4.247297
0.0,16,4.313228
0.0,16,4.376652
0.0,16,4.442204
0.0,16,4.507418
0.0,16,4.573286
0.0,16,4.6386
0.0,16,4.703299
0.0,16,4.773009
0.0,16,4.83801
0.0,16,4.912024
0.0,16,4.978833
0.0,16,5.041829
0.0,16,5.104789
0.0,16,5.176647
0.0,16,5.243252
0.0,16,5.306746
0.0,16,5.373938
0.0,16,5.438648
0.0,16,5.507208
0.0,16,5.573138
0.0,16,5.638424
0.0,16,5.703777
0.0,16,5.773472
0.0,16,5.839279
0.0,16,5.9113
0.0,16,5.976599
0.0,16,6.040126
0.0,16,6.107348
0.0,16,6.176177
0.0,16,6.243122
0.0,16,6.30648
0.0,16,6.369921
0.0,16,6.443002
0.0,16,6.508041
0.0,16,6.574292
0.0,16,6.642122
0.0,16,6.705218
