#{"t_start": 1628600616.0347567, "env_id": null}
r,l,t
0.0,16,0.060293
0.0,16,0.100865
0.0,16,0.141522
0.0,16,0.183529
0.0,16,0.230278
0.0,16,0.275078
0.0,16,0.317005
0.0,16,0.360549
0.0,16,0.400078
0.0,16,0.445584
0.0,16,0.486181
0.0,16,0.528755
0.0,16,0.57794
0.0,16,0.62146
0.0,16,0.668088
0.0,11,0.70941
0.0,16,0.750591
0.0,16,0.793832
1.0,10,0.834359
0.0,16,0.876736
0.0,16,0.921531
0.0,16,0.963223
0.0,16,1.012268
0.0,16,1.058598
0.0,16,1.102637
0.0,16,1.146786
0.0,16,1.193605
0.0,16,1.235961
0.0,16,1.278094
0.0,16,1.324469
0.0,16,1.367723
0.0,16,1.409688
0.0,16,1.455753
0.0,16,1.497382
1.0,16,1.547529
0.0,16,1.592194
0.0,16,1.633294
0.0,16,1.679433
0.0,16,1.721757
0.0,16,1.766749
0.0,16,1.817333
0.0,16,1.858606
0.0,16,1.899361
0.0,16,1.940462
0.0,16,1.981936
0.0,16,2.026066
0.0,16,2.067438
0.0,16,2.108094
0.0,16,2.149767
0.0,16,2.190788
0.0,16,2.235369
0.0,16,2.281297
0.0,16,2.323612
0.0,16,2.369846
0.0,16,2.416708
0.0,16,2.46038
0.0,16,2.501329
0.0,16,2.544527
0.0,16,2.586253
0.0,16,2.628672
0.0,16,2.66954
0.0,16,2.711699
0.0,16,2.758654
0.0,16,2.799898
0.0,16,2.840979
0.0,16,2.882693
0.0,16,2.923917
0.0,16,2.966427
0.0,16,3.00779
0.0,16,3.052045
0.0,16,3.094378
0.0,16,3.137878
0.0,16,3.184223
0.0,16,3.227306
0.0,16,3.268423
0.0,16,3.313617
0.0,16,3.360079
0.0,16,3.401061
0.0,16,3.444359
0.0,16,3.488663
0.0,16,3.535455
0.0,16,3.578156
0.0,16,3.622098
0.0,16,3.668391
0.0,16,3.710894
0.0,16,3.755045
0.0,16,3.809398
0.0,16,3.851039
0.0,16,3.891985
0.0,16,3.93415
0.0,16,3.97533
0.0,16,4.016366
0.0,15,4.063959
0.0,16,4.11047
0.0,16,4.15419
0.0,16,4.200058
0.0,16,4.242373
0.0,16,4.283324
0.0,16,4.325287
0.0,16,4.370379
0.0,16,4.411821
0.0,16,4.458689
