#{"t_start": 1628211992.81721, "env_id": null}
r,l,t
0.0,16,0.065802
0.0,16,0.127852
0.0,16,0.184553
0.0,16,0.243615
0.0,16,0.299047
0.0,16,0.353955
0.0,16,0.408818
0.0,16,0.465227
0.0,16,0.522247
1.0,14,0.582074
0.0,16,0.63686
0.0,16,0.694242
0.0,16,0.749355
0.0,16,0.817516
0.0,16,0.875446
0.0,16,0.930446
0.0,16,0.985158
1.0,11,1.033672
0.0,12,1.087704
0.0,16,1.142947
0.0,16,1.19896
0.0,16,1.256024
0.0,16,1.316047
0.0,16,1.374991
0.0,16,1.429157
0.0,16,1.49807
0.0,16,1.553326
0.0,16,1.614304
0.0,16,1.670784
1.0,16,1.73205
0.0,16,1.792495
0.0,16,1.850384
0.0,16,1.914259
0.0,16,1.970405
1.0,11,2.019132
1.0,15,2.076583
0.0,16,2.135851
0.0,16,2.191421
0.0,16,2.246654
0.0,16,2.302505
0.0,16,2.357933
0.0,16,2.415687
0.0,16,2.472077
0.0,16,2.527927
0.0,16,2.586905
0.0,16,2.643961
0.0,16,2.704328
0.0,16,2.759992
0.0,16,2.820319
0.0,16,2.876452
0.0,16,2.931957
1.0,10,2.974995
0.0,16,3.036756
0.0,16,3.095136
0.0,16,3.153253
0.0,16,3.209725
0.0,16,3.265205
0.0,16,3.320985
0.0,16,3.382794
0.0,16,3.439199
0.0,16,3.494819
0.0,16,3.555425
0.0,16,3.611649
0.0,16,3.66583
0.0,15,3.726691
0.0,16,3.789512
0.0,16,3.844225
0.0,16,3.909253
0.0,16,3.966034
0.0,16,4.026777
0.0,16,4.08435
0.0,16,4.147565
1.0,12,4.19789
0.0,16,4.254452
0.0,16,4.310209
0.0,16,4.365899
0.0,16,4.422928
0.0,16,4.47896
0.0,16,4.534991
1.0,12,4.586052
0.0,16,4.644928
0.0,16,4.701431
0.0,16,4.764927
1.0,16,4.82757
0.0,16,4.888222
0.0,16,4.94369
0.0,16,5.004189
0.0,16,5.062038
0.0,16,5.118823
0.0,16,5.175063
0.0,16,5.231742
0.0,16,5.294511
0.0,16,5.350143
0.0,16,5.407089
0.0,16,5.464729
0.0,16,5.529534
0.0,16,5.586512
0.0,16,5.642338
0.0,16,5.701206
0.0,16,5.758055
1.0,13,5.816955
0.0,16,5.874202
0.0,16,5.93015
0.0,16,5.985201
1.0,14,6.04541
0.0,16,6.103304
0.0,16,6.158776
0.0,16,6.215762
0.0,16,6.271849
0.0,16,6.32849
0.0,16,6.386395
0.0,16,6.446086
0.0,16,6.502459
0.0,16,6.559596
0.0,16,6.622327
0.0,16,6.678479
0.0,16,6.740108
0.0,16,6.800872
0.0,16,6.856316
0.0,16,6.913873
0.0,16,6.971791
0.0,16,7.029032
0.0,16,7.085977
0.0,16,7.146143
0.0,16,7.202997
0.0,16,7.259797
0.0,16,7.327282
0.0,16,7.383768
0.0,16,7.445603
0.0,16,7.501867
0.0,16,8.572287
0.0,16,8.627842
0.0,16,8.68503
0.0,16,8.741709
0.0,16,8.797628
1.0,11,8.845963
0.0,16,8.910194
0.0,16,8.965413
0.0,16,9.021917
0.0,16,9.079933
0.0,16,9.135997
0.0,16,9.191717
0.0,16,9.250791
0.0,16,9.306281
0.0,16,9.361462
0.0,16,9.416606
0.0,16,9.476234
0.0,16,9.53199
0.0,16,9.590735
0.0,16,9.648347
0.0,16,9.70456
0.0,16,9.763433
0.0,16,9.818325
0.0,16,9.876048
0.0,16,9.931742
0.0,16,9.991543
0.0,16,10.054087
0.0,16,10.112761
0.0,16,10.16959
0.0,16,10.226958
0.0,16,10.283273
0.0,16,10.339412
0.0,16,10.396896
0.0,16,10.452285
0.0,16,10.507719
0.0,16,10.56558
0.0,16,10.622906
0.0,16,10.684336
0.0,16,10.741408
0.0,16,10.799388
0.0,16,10.861133
0.0,16,10.917526
0.0,16,10.973478
0.0,16,11.030606
0.0,16,11.088817
0.0,16,11.14548
0.0,15,11.210036
0.0,16,11.270354
0.0,16,11.327167
0.0,16,11.382978
0.0,16,11.443045
0.0,16,11.498842
0.0,16,11.563083
0.0,16,11.628812
0.0,16,11.685373
0.0,16,11.746195
0.0,16,11.802515
0.0,16,11.859205
0.0,16,11.927997
0.0,16,11.986772
0.0,16,12.047703
0.0,16,12.104991
0.0,16,12.161749
0.0,16,12.218779
0.0,16,12.276311
0.0,16,12.332601
0.0,16,12.388957
0.0,16,12.445255
0.0,16,12.501764
